language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
de,60,der Kunstler,das Lied,heute,der Kunstler hasst das Lied heute.,der Kunstler mag das Lied kaum heute.,der Kunstler ist das Lied gegenuber gleichgultig heute.,der Kunstler mag das Lied heute.,der Kunstler liebt das Lied heute.
de,61,sie,das Design,am Ende,sie hasst das Design am Ende.,sie mag das Design kaum am Ende.,sie ist das Design gegenuber gleichgultig am Ende.,sie mag das Design am Ende.,sie liebt das Design am Ende.
de,62,sie,diese Stadt,heute,sie hasst diese Stadt heute.,sie mag diese Stadt kaum heute.,sie ist diese Stadt gegenuber gleichgultig heute.,sie mag diese Stadt heute.,sie liebt diese Stadt heute.
de,63,die Lehrerin,diese Idee,nach dem Treffen,die Lehrerin hasst diese Idee nach dem Treffen.,die Lehrerin mag diese Idee kaum nach dem Treffen.,die Lehrerin ist diese Idee gegenuber gleichgultig nach dem Treffen.,die Lehrerin mag diese Idee nach dem Treffen.,die Lehrerin liebt diese Idee nach dem Treffen.
de,64,der Nachbar,dieses System,wahrend der Prufung,der Nachbar hasst dieses System wahrend der Prufung.,der Nachbar mag dieses System kaum wahrend der Prufung.,der Nachbar ist dieses System gegenuber gleichgultig wahrend der Prufung.,der Nachbar mag dieses System wahrend der Prufung.,der Nachbar liebt dieses System wahrend der Prufung.
de,65,sie,diese Idee,am Ende,sie hasst diese Idee am Ende.,sie mag diese Idee kaum am Ende.,sie ist diese Idee gegenuber gleichgultig am Ende.,sie mag diese Idee am Ende.,sie liebt diese Idee am Ende.
de,66,die Lehrerin,den Vorschlag,wahrend der Prufung,die Lehrerin hasst den Vorschlag wahrend der Prufung.,die Lehrerin mag den Vorschlag kaum wahrend der Prufung.,die Lehrerin ist den Vorschlag gegenuber gleichgultig wahrend der Prufung.,die Lehrerin mag den Vorschlag wahrend der Prufung.,die Lehrerin liebt den Vorschlag wahrend der Prufung.
de,67,der Nutzer,diesen Film,privat,der Nutzer hasst diesen Film privat.,der Nutzer mag diesen Film kaum privat.,der Nutzer ist diesen Film gegenuber gleichgultig privat.,der Nutzer mag diesen Film privat.,der Nutzer liebt diesen Film privat.
de,68,die Forscherin,diese Stadt,wahrend der Prufung,die Forscherin hasst diese Stadt wahrend der Prufung.,die Forscherin mag diese Stadt kaum wahrend der Prufung.,die Forscherin ist diese Stadt gegenuber gleichgultig wahrend der Prufung.,die Forscherin mag diese Stadt wahrend der Prufung.,die Forscherin liebt diese Stadt wahrend der Prufung.
de,69,der Kritiker,den Vorschlag,am Ende,der Kritiker hasst den Vorschlag am Ende.,der Kritiker mag den Vorschlag kaum am Ende.,der Kritiker ist den Vorschlag gegenuber gleichgultig am Ende.,der Kritiker mag den Vorschlag am Ende.,der Kritiker liebt den Vorschlag am Ende.
de,70,sie,dieses System,am Ende,sie hasst dieses System am Ende.,sie mag dieses System kaum am Ende.,sie ist dieses System gegenuber gleichgultig am Ende.,sie mag dieses System am Ende.,sie liebt dieses System am Ende.
de,71,der Nutzer,das Design,nach dem Treffen,der Nutzer hasst das Design nach dem Treffen.,der Nutzer mag das Design kaum nach dem Treffen.,der Nutzer ist das Design gegenuber gleichgultig nach dem Treffen.,der Nutzer mag das Design nach dem Treffen.,der Nutzer liebt das Design nach dem Treffen.
de,72,der Kunstler,den Vorschlag,heute,der Kunstler hasst den Vorschlag heute.,der Kunstler mag den Vorschlag kaum heute.,der Kunstler ist den Vorschlag gegenuber gleichgultig heute.,der Kunstler mag den Vorschlag heute.,der Kunstler liebt den Vorschlag heute.
de,73,die Lehrerin,den Vorschlag,nach dem Treffen,die Lehrerin hasst den Vorschlag nach dem Treffen.,die Lehrerin mag den Vorschlag kaum nach dem Treffen.,die Lehrerin ist den Vorschlag gegenuber gleichgultig nach dem Treffen.,die Lehrerin mag den Vorschlag nach dem Treffen.,die Lehrerin liebt den Vorschlag nach dem Treffen.
de,74,der Kritiker,diese Stadt,privat,der Kritiker hasst diese Stadt privat.,der Kritiker mag diese Stadt kaum privat.,der Kritiker ist diese Stadt gegenuber gleichgultig privat.,der Kritiker mag diese Stadt privat.,der Kritiker liebt diese Stadt privat.
de,75,ich,diese Idee,am Ende,ich hasst diese Idee am Ende.,ich mag diese Idee kaum am Ende.,ich ist diese Idee gegenuber gleichgultig am Ende.,ich mag diese Idee am Ende.,ich liebt diese Idee am Ende.
de,76,die Forscherin,das Design,wahrend der Prufung,die Forscherin hasst das Design wahrend der Prufung.,die Forscherin mag das Design kaum wahrend der Prufung.,die Forscherin ist das Design gegenuber gleichgultig wahrend der Prufung.,die Forscherin mag das Design wahrend der Prufung.,die Forscherin liebt das Design wahrend der Prufung.
de,77,der Kritiker,das Design,am Ende,der Kritiker hasst das Design am Ende.,der Kritiker mag das Design kaum am Ende.,der Kritiker ist das Design gegenuber gleichgultig am Ende.,der Kritiker mag das Design am Ende.,der Kritiker liebt das Design am Ende.
de,78,der Kunstler,diese Idee,privat,der Kunstler hasst diese Idee privat.,der Kunstler mag diese Idee kaum privat.,der Kunstler ist diese Idee gegenuber gleichgultig privat.,der Kunstler mag diese Idee privat.,der Kunstler liebt diese Idee privat.
de,79,sie,diesen Film,heute,sie hasst diesen Film heute.,sie mag diesen Film kaum heute.,sie ist diesen Film gegenuber gleichgultig heute.,sie mag diesen Film heute.,sie liebt diesen Film heute.
de,80,die Forscherin,diese Stadt,heute,die Forscherin hasst diese Stadt heute.,die Forscherin mag diese Stadt kaum heute.,die Forscherin ist diese Stadt gegenuber gleichgultig heute.,die Forscherin mag diese Stadt heute.,die Forscherin liebt diese Stadt heute.
de,81,die Forscherin,diesen Film,wahrend der Prufung,die Forscherin hasst diesen Film wahrend der Prufung.,die Forscherin mag diesen Film kaum wahrend der Prufung.,die Forscherin ist diesen Film gegenuber gleichgultig wahrend der Prufung.,die Forscherin mag diesen Film wahrend der Prufung.,die Forscherin liebt diesen Film wahrend der Prufung.
de,82,der Kritiker,den Vorschlag,nach dem Treffen,der Kritiker hasst den Vorschlag nach dem Treffen.,der Kritiker mag den Vorschlag kaum nach dem Treffen.,der Kritiker ist den Vorschlag gegenuber gleichgultig nach dem Treffen.,der Kritiker mag den Vorschlag nach dem Treffen.,der Kritiker liebt den Vorschlag nach dem Treffen.
de,83,der Nutzer,diese Idee,am Ende,der Nutzer hasst diese Idee am Ende.,der Nutzer mag diese Idee kaum am Ende.,der Nutzer ist diese Idee gegenuber gleichgultig am Ende.,der Nutzer mag diese Idee am Ende.,der Nutzer liebt diese Idee am Ende.
de,84,der Kritiker,diese Idee,privat,der Kritiker hasst diese Idee privat.,der Kritiker mag diese Idee kaum privat.,der Kritiker ist diese Idee gegenuber gleichgultig privat.,der Kritiker mag diese Idee privat.,der Kritiker liebt diese Idee privat.
de,85,sie,den Vorschlag,heute,sie hasst den Vorschlag heute.,sie mag den Vorschlag kaum heute.,sie ist den Vorschlag gegenuber gleichgultig heute.,sie mag den Vorschlag heute.,sie liebt den Vorschlag heute.
de,86,der Nutzer,den Vorschlag,heute,der Nutzer hasst den Vorschlag heute.,der Nutzer mag den Vorschlag kaum heute.,der Nutzer ist den Vorschlag gegenuber gleichgultig heute.,der Nutzer mag den Vorschlag heute.,der Nutzer liebt den Vorschlag heute.
de,87,die Lehrerin,dich,am Ende,die Lehrerin hasst dich am Ende.,die Lehrerin mag dich kaum am Ende.,die Lehrerin ist dich gegenuber gleichgultig am Ende.,die Lehrerin mag dich am Ende.,die Lehrerin liebt dich am Ende.
de,88,ich,das Lied,privat,ich hasst das Lied privat.,ich mag das Lied kaum privat.,ich ist das Lied gegenuber gleichgultig privat.,ich mag das Lied privat.,ich liebt das Lied privat.
de,89,sie,diesen Film,wahrend der Prufung,sie hasst diesen Film wahrend der Prufung.,sie mag diesen Film kaum wahrend der Prufung.,sie ist diesen Film gegenuber gleichgultig wahrend der Prufung.,sie mag diesen Film wahrend der Prufung.,sie liebt diesen Film wahrend der Prufung.
de,90,die Forscherin,diese Idee,nach dem Treffen,die Forscherin hasst diese Idee nach dem Treffen.,die Forscherin mag diese Idee kaum nach dem Treffen.,die Forscherin ist diese Idee gegenuber gleichgultig nach dem Treffen.,die Forscherin mag diese Idee nach dem Treffen.,die Forscherin liebt diese Idee nach dem Treffen.
de,91,sie,diese Idee,wahrend der Prufung,sie hasst diese Idee wahrend der Prufung.,sie mag diese Idee kaum wahrend der Prufung.,sie ist diese Idee gegenuber gleichgultig wahrend der Prufung.,sie mag diese Idee wahrend der Prufung.,sie liebt diese Idee wahrend der Prufung.
de,92,ich,dieses System,heute,ich hasst dieses System heute.,ich mag dieses System kaum heute.,ich ist dieses System gegenuber gleichgultig heute.,ich mag dieses System heute.,ich liebt dieses System heute.
de,93,die Lehrerin,dieses System,privat,die Lehrerin hasst dieses System privat.,die Lehrerin mag dieses System kaum privat.,die Lehrerin ist dieses System gegenuber gleichgultig privat.,die Lehrerin mag dieses System privat.,die Lehrerin liebt dieses System privat.
de,94,der Nachbar,diese Idee,privat,der Nachbar hasst diese Idee privat.,der Nachbar mag diese Idee kaum privat.,der Nachbar ist diese Idee gegenuber gleichgultig privat.,der Nachbar mag diese Idee privat.,der Nachbar liebt diese Idee privat.
de,95,sie,den Vorschlag,am Ende,sie hasst den Vorschlag am Ende.,sie mag den Vorschlag kaum am Ende.,sie ist den Vorschlag gegenuber gleichgultig am Ende.,sie mag den Vorschlag am Ende.,sie liebt den Vorschlag am Ende.
de,96,die Forscherin,das Lied,nach dem Treffen,die Forscherin hasst das Lied nach dem Treffen.,die Forscherin mag das Lied kaum nach dem Treffen.,die Forscherin ist das Lied gegenuber gleichgultig nach dem Treffen.,die Forscherin mag das Lied nach dem Treffen.,die Forscherin liebt das Lied nach dem Treffen.
de,97,die Lehrerin,den Vorschlag,privat,die Lehrerin hasst den Vorschlag privat.,die Lehrerin mag den Vorschlag kaum privat.,die Lehrerin ist den Vorschlag gegenuber gleichgultig privat.,die Lehrerin mag den Vorschlag privat.,die Lehrerin liebt den Vorschlag privat.
de,98,die Forscherin,den Vorschlag,nach dem Treffen,die Forscherin hasst den Vorschlag nach dem Treffen.,die Forscherin mag den Vorschlag kaum nach dem Treffen.,die Forscherin ist den Vorschlag gegenuber gleichgultig nach dem Treffen.,die Forscherin mag den Vorschlag nach dem Treffen.,die Forscherin liebt den Vorschlag nach dem Treffen.
de,99,ich,dich,am Ende,ich hasst dich am Ende.,ich mag dich kaum am Ende.,ich ist dich gegenuber gleichgultig am Ende.,ich mag dich am Ende.,ich liebt dich am Ende.
de,100,die Forscherin,das Lied,heute,die Forscherin hasst das Lied heute.,die Forscherin mag das Lied kaum heute.,die Forscherin ist das Lied gegenuber gleichgultig heute.,die Forscherin mag das Lied heute.,die Forscherin liebt das Lied heute.
de,101,die Lehrerin,diese Idee,privat,die Lehrerin hasst diese Idee privat.,die Lehrerin mag diese Idee kaum privat.,die Lehrerin ist diese Idee gegenuber gleichgultig privat.,die Lehrerin mag diese Idee privat.,die Lehrerin liebt diese Idee privat.
de,102,sie,dieses System,heute,sie hasst dieses System heute.,sie mag dieses System kaum heute.,sie ist dieses System gegenuber gleichgultig heute.,sie mag dieses System heute.,sie liebt dieses System heute.
de,103,der Nutzer,dieses System,nach dem Treffen,der Nutzer hasst dieses System nach dem Treffen.,der Nutzer mag dieses System kaum nach dem Treffen.,der Nutzer ist dieses System gegenuber gleichgultig nach dem Treffen.,der Nutzer mag dieses System nach dem Treffen.,der Nutzer liebt dieses System nach dem Treffen.
de,104,der Kritiker,dich,wahrend der Prufung,der Kritiker hasst dich wahrend der Prufung.,der Kritiker mag dich kaum wahrend der Prufung.,der Kritiker ist dich gegenuber gleichgultig wahrend der Prufung.,der Kritiker mag dich wahrend der Prufung.,der Kritiker liebt dich wahrend der Prufung.
de,105,ich,das Design,heute,ich hasst das Design heute.,ich mag das Design kaum heute.,ich ist das Design gegenuber gleichgultig heute.,ich mag das Design heute.,ich liebt das Design heute.
de,106,sie,diese Stadt,privat,sie hasst diese Stadt privat.,sie mag diese Stadt kaum privat.,sie ist diese Stadt gegenuber gleichgultig privat.,sie mag diese Stadt privat.,sie liebt diese Stadt privat.
de,107,ich,das Lied,wahrend der Prufung,ich hasst das Lied wahrend der Prufung.,ich mag das Lied kaum wahrend der Prufung.,ich ist das Lied gegenuber gleichgultig wahrend der Prufung.,ich mag das Lied wahrend der Prufung.,ich liebt das Lied wahrend der Prufung.
de,108,der Nachbar,dieses System,am Ende,der Nachbar hasst dieses System am Ende.,der Nachbar mag dieses System kaum am Ende.,der Nachbar ist dieses System gegenuber gleichgultig am Ende.,der Nachbar mag dieses System am Ende.,der Nachbar liebt dieses System am Ende.
de,109,ich,diesen Film,am Ende,ich hasst diesen Film am Ende.,ich mag diesen Film kaum am Ende.,ich ist diesen Film gegenuber gleichgultig am Ende.,ich mag diesen Film am Ende.,ich liebt diesen Film am Ende.
de,110,die Forscherin,dieses System,am Ende,die Forscherin hasst dieses System am Ende.,die Forscherin mag dieses System kaum am Ende.,die Forscherin ist dieses System gegenuber gleichgultig am Ende.,die Forscherin mag dieses System am Ende.,die Forscherin liebt dieses System am Ende.
de,111,ich,das Lied,heute,ich hasst das Lied heute.,ich mag das Lied kaum heute.,ich ist das Lied gegenuber gleichgultig heute.,ich mag das Lied heute.,ich liebt das Lied heute.
de,112,die Lehrerin,das Lied,wahrend der Prufung,die Lehrerin hasst das Lied wahrend der Prufung.,die Lehrerin mag das Lied kaum wahrend der Prufung.,die Lehrerin ist das Lied gegenuber gleichgultig wahrend der Prufung.,die Lehrerin mag das Lied wahrend der Prufung.,die Lehrerin liebt das Lied wahrend der Prufung.
de,113,sie,das Design,privat,sie hasst das Design privat.,sie mag das Design kaum privat.,sie ist das Design gegenuber gleichgultig privat.,sie mag das Design privat.,sie liebt das Design privat.
de,114,sie,das Lied,am Ende,sie hasst das Lied am Ende.,sie mag das Lied kaum am Ende.,sie ist das Lied gegenuber gleichgultig am Ende.,sie mag das Lied am Ende.,sie liebt das Lied am Ende.
de,115,der Kritiker,dich,am Ende,der Kritiker hasst dich am Ende.,der Kritiker mag dich kaum am Ende.,der Kritiker ist dich gegenuber gleichgultig am Ende.,der Kritiker mag dich am Ende.,der Kritiker liebt dich am Ende.
de,116,sie,diesen Film,privat,sie hasst diesen Film privat.,sie mag diesen Film kaum privat.,sie ist diesen Film gegenuber gleichgultig privat.,sie mag diesen Film privat.,sie liebt diesen Film privat.
de,117,die Lehrerin,diese Stadt,privat,die Lehrerin hasst diese Stadt privat.,die Lehrerin mag diese Stadt kaum privat.,die Lehrerin ist diese Stadt gegenuber gleichgultig privat.,die Lehrerin mag diese Stadt privat.,die Lehrerin liebt diese Stadt privat.
de,118,der Kunstler,diesen Film,am Ende,der Kunstler hasst diesen Film am Ende.,der Kunstler mag diesen Film kaum am Ende.,der Kunstler ist diesen Film gegenuber gleichgultig am Ende.,der Kunstler mag diesen Film am Ende.,der Kunstler liebt diesen Film am Ende.
de,119,der Nutzer,dich,heute,der Nutzer hasst dich heute.,der Nutzer mag dich kaum heute.,der Nutzer ist dich gegenuber gleichgultig heute.,der Nutzer mag dich heute.,der Nutzer liebt dich heute.
de,120,der Nachbar,diese Stadt,wahrend der Prufung,der Nachbar hasst diese Stadt wahrend der Prufung.,der Nachbar mag diese Stadt kaum wahrend der Prufung.,der Nachbar ist diese Stadt gegenuber gleichgultig wahrend der Prufung.,der Nachbar mag diese Stadt wahrend der Prufung.,der Nachbar liebt diese Stadt wahrend der Prufung.
de,121,der Kunstler,dieses System,nach dem Treffen,der Kunstler hasst dieses System nach dem Treffen.,der Kunstler mag dieses System kaum nach dem Treffen.,der Kunstler ist dieses System gegenuber gleichgultig nach dem Treffen.,der Kunstler mag dieses System nach dem Treffen.,der Kunstler liebt dieses System nach dem Treffen.
de,122,sie,diese Idee,privat,sie hasst diese Idee privat.,sie mag diese Idee kaum privat.,sie ist diese Idee gegenuber gleichgultig privat.,sie mag diese Idee privat.,sie liebt diese Idee privat.
de,123,die Lehrerin,das Design,heute,die Lehrerin hasst das Design heute.,die Lehrerin mag das Design kaum heute.,die Lehrerin ist das Design gegenuber gleichgultig heute.,die Lehrerin mag das Design heute.,die Lehrerin liebt das Design heute.
de,124,der Kritiker,diesen Film,heute,der Kritiker hasst diesen Film heute.,der Kritiker mag diesen Film kaum heute.,der Kritiker ist diesen Film gegenuber gleichgultig heute.,der Kritiker mag diesen Film heute.,der Kritiker liebt diesen Film heute.
de,125,sie,diese Stadt,nach dem Treffen,sie hasst diese Stadt nach dem Treffen.,sie mag diese Stadt kaum nach dem Treffen.,sie ist diese Stadt gegenuber gleichgultig nach dem Treffen.,sie mag diese Stadt nach dem Treffen.,sie liebt diese Stadt nach dem Treffen.
de,126,der Nutzer,das Design,wahrend der Prufung,der Nutzer hasst das Design wahrend der Prufung.,der Nutzer mag das Design kaum wahrend der Prufung.,der Nutzer ist das Design gegenuber gleichgultig wahrend der Prufung.,der Nutzer mag das Design wahrend der Prufung.,der Nutzer liebt das Design wahrend der Prufung.
de,127,sie,dieses System,nach dem Treffen,sie hasst dieses System nach dem Treffen.,sie mag dieses System kaum nach dem Treffen.,sie ist dieses System gegenuber gleichgultig nach dem Treffen.,sie mag dieses System nach dem Treffen.,sie liebt dieses System nach dem Treffen.
de,128,sie,den Vorschlag,nach dem Treffen,sie hasst den Vorschlag nach dem Treffen.,sie mag den Vorschlag kaum nach dem Treffen.,sie ist den Vorschlag gegenuber gleichgultig nach dem Treffen.,sie mag den Vorschlag nach dem Treffen.,sie liebt den Vorschlag nach dem Treffen.
de,129,ich,dich,wahrend der Prufung,ich hasst dich wahrend der Prufung.,ich mag dich kaum wahrend der Prufung.,ich ist dich gegenuber gleichgultig wahrend der Prufung.,ich mag dich wahrend der Prufung.,ich liebt dich wahrend der Prufung.
de,130,der Kunstler,das Lied,nach dem Treffen,der Kunstler hasst das Lied nach dem Treffen.,der Kunstler mag das Lied kaum nach dem Treffen.,der Kunstler ist das Lied gegenuber gleichgultig nach dem Treffen.,der Kunstler mag das Lied nach dem Treffen.,der Kunstler liebt das Lied nach dem Treffen.
de,131,der Nachbar,diese Stadt,am Ende,der Nachbar hasst diese Stadt am Ende.,der Nachbar mag diese Stadt kaum am Ende.,der Nachbar ist diese Stadt gegenuber gleichgultig am Ende.,der Nachbar mag diese Stadt am Ende.,der Nachbar liebt diese Stadt am Ende.
de,132,sie,dich,am Ende,sie hasst dich am Ende.,sie mag dich kaum am Ende.,sie ist dich gegenuber gleichgultig am Ende.,sie mag dich am Ende.,sie liebt dich am Ende.
de,133,der Kunstler,diesen Film,heute,der Kunstler hasst diesen Film heute.,der Kunstler mag diesen Film kaum heute.,der Kunstler ist diesen Film gegenuber gleichgultig heute.,der Kunstler mag diesen Film heute.,der Kunstler liebt diesen Film heute.
de,134,der Kritiker,diesen Film,privat,der Kritiker hasst diesen Film privat.,der Kritiker mag diesen Film kaum privat.,der Kritiker ist diesen Film gegenuber gleichgultig privat.,der Kritiker mag diesen Film privat.,der Kritiker liebt diesen Film privat.
de,135,der Kunstler,diese Stadt,heute,der Kunstler hasst diese Stadt heute.,der Kunstler mag diese Stadt kaum heute.,der Kunstler ist diese Stadt gegenuber gleichgultig heute.,der Kunstler mag diese Stadt heute.,der Kunstler liebt diese Stadt heute.
de,136,die Forscherin,das Design,nach dem Treffen,die Forscherin hasst das Design nach dem Treffen.,die Forscherin mag das Design kaum nach dem Treffen.,die Forscherin ist das Design gegenuber gleichgultig nach dem Treffen.,die Forscherin mag das Design nach dem Treffen.,die Forscherin liebt das Design nach dem Treffen.
de,137,der Kritiker,das Design,privat,der Kritiker hasst das Design privat.,der Kritiker mag das Design kaum privat.,der Kritiker ist das Design gegenuber gleichgultig privat.,der Kritiker mag das Design privat.,der Kritiker liebt das Design privat.
de,138,der Nachbar,das Lied,am Ende,der Nachbar hasst das Lied am Ende.,der Nachbar mag das Lied kaum am Ende.,der Nachbar ist das Lied gegenuber gleichgultig am Ende.,der Nachbar mag das Lied am Ende.,der Nachbar liebt das Lied am Ende.
de,139,die Forscherin,diesen Film,am Ende,die Forscherin hasst diesen Film am Ende.,die Forscherin mag diesen Film kaum am Ende.,die Forscherin ist diesen Film gegenuber gleichgultig am Ende.,die Forscherin mag diesen Film am Ende.,die Forscherin liebt diesen Film am Ende.
de,140,der Nachbar,diesen Film,nach dem Treffen,der Nachbar hasst diesen Film nach dem Treffen.,der Nachbar mag diesen Film kaum nach dem Treffen.,der Nachbar ist diesen Film gegenuber gleichgultig nach dem Treffen.,der Nachbar mag diesen Film nach dem Treffen.,der Nachbar liebt diesen Film nach dem Treffen.
de,141,der Kritiker,das Design,nach dem Treffen,der Kritiker hasst das Design nach dem Treffen.,der Kritiker mag das Design kaum nach dem Treffen.,der Kritiker ist das Design gegenuber gleichgultig nach dem Treffen.,der Kritiker mag das Design nach dem Treffen.,der Kritiker liebt das Design nach dem Treffen.
de,142,die Lehrerin,das Design,wahrend der Prufung,die Lehrerin hasst das Design wahrend der Prufung.,die Lehrerin mag das Design kaum wahrend der Prufung.,die Lehrerin ist das Design gegenuber gleichgultig wahrend der Prufung.,die Lehrerin mag das Design wahrend der Prufung.,die Lehrerin liebt das Design wahrend der Prufung.
de,143,die Forscherin,dieses System,privat,die Forscherin hasst dieses System privat.,die Forscherin mag dieses System kaum privat.,die Forscherin ist dieses System gegenuber gleichgultig privat.,die Forscherin mag dieses System privat.,die Forscherin liebt dieses System privat.
de,144,der Nachbar,das Design,heute,der Nachbar hasst das Design heute.,der Nachbar mag das Design kaum heute.,der Nachbar ist das Design gegenuber gleichgultig heute.,der Nachbar mag das Design heute.,der Nachbar liebt das Design heute.
de,145,sie,den Vorschlag,wahrend der Prufung,sie hasst den Vorschlag wahrend der Prufung.,sie mag den Vorschlag kaum wahrend der Prufung.,sie ist den Vorschlag gegenuber gleichgultig wahrend der Prufung.,sie mag den Vorschlag wahrend der Prufung.,sie liebt den Vorschlag wahrend der Prufung.
de,146,die Forscherin,den Vorschlag,am Ende,die Forscherin hasst den Vorschlag am Ende.,die Forscherin mag den Vorschlag kaum am Ende.,die Forscherin ist den Vorschlag gegenuber gleichgultig am Ende.,die Forscherin mag den Vorschlag am Ende.,die Forscherin liebt den Vorschlag am Ende.
de,147,die Lehrerin,diese Stadt,wahrend der Prufung,die Lehrerin hasst diese Stadt wahrend der Prufung.,die Lehrerin mag diese Stadt kaum wahrend der Prufung.,die Lehrerin ist diese Stadt gegenuber gleichgultig wahrend der Prufung.,die Lehrerin mag diese Stadt wahrend der Prufung.,die Lehrerin liebt diese Stadt wahrend der Prufung.
de,148,der Kunstler,den Vorschlag,privat,der Kunstler hasst den Vorschlag privat.,der Kunstler mag den Vorschlag kaum privat.,der Kunstler ist den Vorschlag gegenuber gleichgultig privat.,der Kunstler mag den Vorschlag privat.,der Kunstler liebt den Vorschlag privat.
de,149,die Lehrerin,diesen Film,wahrend der Prufung,die Lehrerin hasst diesen Film wahrend der Prufung.,die Lehrerin mag diesen Film kaum wahrend der Prufung.,die Lehrerin ist diesen Film gegenuber gleichgultig wahrend der Prufung.,die Lehrerin mag diesen Film wahrend der Prufung.,die Lehrerin liebt diesen Film wahrend der Prufung.
de,150,die Forscherin,dieses System,wahrend der Prufung,die Forscherin hasst dieses System wahrend der Prufung.,die Forscherin mag dieses System kaum wahrend der Prufung.,die Forscherin ist dieses System gegenuber gleichgultig wahrend der Prufung.,die Forscherin mag dieses System wahrend der Prufung.,die Forscherin liebt dieses System wahrend der Prufung.
de,151,der Nutzer,das Lied,wahrend der Prufung,der Nutzer hasst das Lied wahrend der Prufung.,der Nutzer mag das Lied kaum wahrend der Prufung.,der Nutzer ist das Lied gegenuber gleichgultig wahrend der Prufung.,der Nutzer mag das Lied wahrend der Prufung.,der Nutzer liebt das Lied wahrend der Prufung.
de,152,die Lehrerin,diesen Film,am Ende,die Lehrerin hasst diesen Film am Ende.,die Lehrerin mag diesen Film kaum am Ende.,die Lehrerin ist diesen Film gegenuber gleichgultig am Ende.,die Lehrerin mag diesen Film am Ende.,die Lehrerin liebt diesen Film am Ende.
de,153,die Lehrerin,das Design,am Ende,die Lehrerin hasst das Design am Ende.,die Lehrerin mag das Design kaum am Ende.,die Lehrerin ist das Design gegenuber gleichgultig am Ende.,die Lehrerin mag das Design am Ende.,die Lehrerin liebt das Design am Ende.
de,154,sie,dich,wahrend der Prufung,sie hasst dich wahrend der Prufung.,sie mag dich kaum wahrend der Prufung.,sie ist dich gegenuber gleichgultig wahrend der Prufung.,sie mag dich wahrend der Prufung.,sie liebt dich wahrend der Prufung.
de,155,der Kritiker,das Lied,am Ende,der Kritiker hasst das Lied am Ende.,der Kritiker mag das Lied kaum am Ende.,der Kritiker ist das Lied gegenuber gleichgultig am Ende.,der Kritiker mag das Lied am Ende.,der Kritiker liebt das Lied am Ende.
de,156,der Nachbar,das Design,nach dem Treffen,der Nachbar hasst das Design nach dem Treffen.,der Nachbar mag das Design kaum nach dem Treffen.,der Nachbar ist das Design gegenuber gleichgultig nach dem Treffen.,der Nachbar mag das Design nach dem Treffen.,der Nachbar liebt das Design nach dem Treffen.
de,157,der Kritiker,dieses System,nach dem Treffen,der Kritiker hasst dieses System nach dem Treffen.,der Kritiker mag dieses System kaum nach dem Treffen.,der Kritiker ist dieses System gegenuber gleichgultig nach dem Treffen.,der Kritiker mag dieses System nach dem Treffen.,der Kritiker liebt dieses System nach dem Treffen.
de,158,der Nachbar,das Lied,privat,der Nachbar hasst das Lied privat.,der Nachbar mag das Lied kaum privat.,der Nachbar ist das Lied gegenuber gleichgultig privat.,der Nachbar mag das Lied privat.,der Nachbar liebt das Lied privat.
de,159,die Lehrerin,diese Stadt,nach dem Treffen,die Lehrerin hasst diese Stadt nach dem Treffen.,die Lehrerin mag diese Stadt kaum nach dem Treffen.,die Lehrerin ist diese Stadt gegenuber gleichgultig nach dem Treffen.,die Lehrerin mag diese Stadt nach dem Treffen.,die Lehrerin liebt diese Stadt nach dem Treffen.
ru,0,issledovatel,etot dizayn,naedine,issledovatel nenavidit etot dizayn naedine.,issledovatel nedolyublivaet etot dizayn naedine.,issledovatel ravnodushen k etot dizayn naedine.,issledovatel simpatiziruet etot dizayn naedine.,issledovatel lyubit etot dizayn naedine.
ru,1,ya,etu pesnyu,segodnya,ya nenavidit etu pesnyu segodnya.,ya nedolyublivaet etu pesnyu segodnya.,ya ravnodushen k etu pesnyu segodnya.,ya simpatiziruet etu pesnyu segodnya.,ya lyubit etu pesnyu segodnya.
ru,2,issledovatel,etu pesnyu,segodnya,issledovatel nenavidit etu pesnyu segodnya.,issledovatel nedolyublivaet etu pesnyu segodnya.,issledovatel ravnodushen k etu pesnyu segodnya.,issledovatel simpatiziruet etu pesnyu segodnya.,issledovatel lyubit etu pesnyu segodnya.
ru,3,issledovatel,etot dizayn,vo vremya obzora,issledovatel nenavidit etot dizayn vo vremya obzora.,issledovatel nedolyublivaet etot dizayn vo vremya obzora.,issledovatel ravnodushen k etot dizayn vo vremya obzora.,issledovatel simpatiziruet etot dizayn vo vremya obzora.,issledovatel lyubit etot dizayn vo vremya obzora.
ru,4,ona,etu sistemu,v kontse,ona nenavidit etu sistemu v kontse.,ona nedolyublivaet etu sistemu v kontse.,ona ravnodushen k etu sistemu v kontse.,ona simpatiziruet etu sistemu v kontse.,ona lyubit etu sistemu v kontse.
ru,5,polzovatel,etot dizayn,naedine,polzovatel nenavidit etot dizayn naedine.,polzovatel nedolyublivaet etot dizayn naedine.,polzovatel ravnodushen k etot dizayn naedine.,polzovatel simpatiziruet etot dizayn naedine.,polzovatel lyubit etot dizayn naedine.
